date,time,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RH_2_1_1,RN_1_1_1,SHFSENS_1_1_1,SHFSENS_2_1_1,SHFSENS_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TA_2_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[%],[W/m^2],[OTHER],[OTHER],[OTHER],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[K]
2022-06-14,10:00,165.4165,129.040,30.1203,12.2705,1576.84,0.00000,409.014,78.0095,69.9862,618.766,0.616000E-04,0.601600E-04,0.585300E-04,-2.05677,0.812403,-0.743903E-01,0.241440,0.171000,0.307000,298.508,298.571,296.318,295.566,295.598
2022-06-14,10:30,165.4374,102.000,32.0208,12.2712,1643.70,0.00000,806.855,74.0954,65.8982,663.045,0.616000E-04,0.601600E-04,0.585300E-04,5.31853,1.47249,0.548706,0.240067,0.170533,0.306600,299.307,299.110,296.797,295.743,295.743
2022-06-14,11:00,165.4582,157.433,33.4911,12.2717,1739.20,0.00000,362.575,71.5023,65.3083,731.164,0.616000E-04,0.601600E-04,0.585300E-04,11.7939,1.90251,1.23752,0.240000,0.169700,0.307000,299.905,299.525,297.333,295.750,295.750
2022-06-14,11:30,165.4790,108.900,34.5086,12.2719,1686.85,0.00000,852.362,73.6971,63.7986,760.011,0.616000E-04,0.601600E-04,0.585300E-04,15.8749,2.12301,1.82530,0.239700,0.168900,0.305600,299.897,299.988,297.830,295.750,295.750
2022-06-14,12:00,165.4999,130.000,35.1185,12.2720,305.055,0.00000,811.033,68.1206,60.7733,750.034,0.616000E-04,0.601600E-04,0.585300E-04,19.1296,2.24547,2.37280,0.239433,0.167600,0.305000,300.398,300.249,298.173,295.797,295.837
2022-06-14,12:30,165.5207,151.400,35.4211,12.2635,279.374,0.00000,891.828,69.5235,59.4220,769.735,0.616000E-04,0.584991E-04,0.585300E-04,24.3223,2.59971,3.36093,0.238500,0.167800,0.303533,300.745,300.754,298.747,295.950,295.950
2022-06-14,13:00,165.5415,129.200,35.6422,12.2724,1641.34,0.00000,878.959,66.8579,56.3970,766.868,0.616000E-04,0.580839E-04,0.585300E-04,27.5870,2.85738,3.87904,0.238067,0.167167,0.303000,300.934,301.217,299.220,295.950,295.950
2022-06-14,13:30,165.5624,157.533,35.8693,12.2724,1105.65,0.00000,575.180,69.1351,55.7780,510.752,0.616000E-04,0.580839E-04,0.585300E-04,27.5662,3.09642,4.19999,0.237933,0.165633,0.301600,300.768,301.532,299.430,295.990,295.990
2022-06-14,14:00,165.5832,144.733,35.6870,12.2724,303.248,0.00000,160.717,76.7908,59.1911,114.714,0.616000E-04,0.580839E-04,0.585300E-04,26.5933,3.39098,4.70989,0.236467,0.166000,0.302000,299.707,300.991,299.550,296.150,296.150
2022-06-14,14:30,165.6040,136.633,35.0036,12.2723,381.613,0.00000,210.854,81.9742,61.7426,142.674,0.616000E-04,0.580839E-04,0.585300E-04,24.4836,3.62411,5.15257,0.235600,0.165500,0.302833,299.277,300.803,299.550,296.150,296.150
2022-06-14,15:00,165.6249,170.200,34.3089,12.2721,221.289,0.00000,114.191,85.3099,63.4726,56.4145,0.616000E-04,0.580839E-04,0.585300E-04,21.8343,3.72439,5.39433,0.235667,0.166000,0.302800,298.805,300.481,299.537,296.150,296.150
2022-06-14,15:30,165.6457,143.967,33.6052,12.2718,225.080,0.00000,117.904,88.0175,66.9682,71.2679,0.616000E-04,0.580839E-04,0.585300E-04,19.1661,3.73884,5.49343,0.234700,0.166000,0.301400,298.434,300.073,299.363,296.150,296.150
2022-06-14,16:00,165.6665,124.667,33.1508,12.2718,287.097,0.00000,152.423,88.2487,75.6888,112.150,0.616000E-04,0.580839E-04,0.585300E-04,16.6738,3.68672,5.48178,0.234933,0.166000,0.301000,298.484,299.244,299.350,296.300,296.220
2022-06-14,16:30,165.6873,148.400,32.8578,12.2718,198.124,0.00000,94.8040,89.6327,76.6838,47.3933,0.616000E-04,0.580839E-04,0.585300E-04,14.4866,3.60591,5.41447,0.233600,0.166000,0.301000,298.359,298.954,299.270,296.430,296.360
2022-06-14,17:00,165.7082,141.567,32.5193,12.2716,234.573,0.100000E-03,116.170,91.4931,76.1574,47.0025,0.616000E-04,0.580839E-04,0.585300E-04,12.6171,3.55006,5.36194,0.232933,0.166000,0.301000,298.146,299.047,299.050,296.450,296.450
2022-06-14,17:30,165.7290,148.333,31.8617,12.2714,31.3510,0.900000E-03,15.5390,96.7746,89.3991,-68.3918,0.616000E-04,0.580839E-04,0.585300E-04,10.9556,3.49346,5.29648,0.231367,0.165067,0.301000,296.052,295.789,298.930,296.450,296.450
2022-06-14,18:00,165.7498,137.000,29.8646,12.2707,8.38447,0.900000E-03,3.98246,100.364,89.8262,-63.4913,0.616000E-04,0.580839E-04,0.585300E-04,9.40392,3.41311,5.18457,0.237533,0.166667,0.301000,294.141,293.970,298.673,296.450,296.450
2022-06-14,18:30,165.7707,141.167,27.9682,12.2615,1.44594,0.300000E-03,0.518609,100.396,90.1289,-38.2422,0.616000E-04,0.568770E-04,0.585300E-04,7.92016,3.34752,5.38222,0.256300,0.166967,0.302867,293.356,293.591,298.743,296.450,296.450
2022-06-14,19:00,165.7915,123.167,26.8826,12.2696,-0.207803E-02,0.00000,0.357588E-02,100.390,89.6980,-47.4945,0.616000E-04,0.565097E-04,0.585300E-04,4.59783,2.60328,4.25146,0.263833,0.165967,0.316233,293.369,293.751,298.420,296.240,296.220
2022-06-14,19:30,165.8123,129.433,26.3742,12.2696,-0.264600E-01,0.00000,-0.563542E-03,100.401,93.8016,-30.4001,0.616000E-04,0.565097E-04,0.585300E-04,1.78511,1.76806,2.85645,0.265167,0.165000,0.324300,293.190,293.097,298.243,296.150,296.150
2022-06-14,20:00,165.8332,136.867,26.1294,12.2692,-0.321390E-01,0.100000E-03,-0.106753E-03,100.388,84.1680,-63.5268,0.616000E-04,0.565097E-04,0.585300E-04,-0.448343,1.02288,1.74098,0.267167,0.166500,0.325300,293.173,294.933,298.050,296.150,296.150
2022-06-14,20:30,165.8540,143.600,25.9932,12.2691,-0.344148E-01,0.00000,0.131299E-02,100.369,80.7945,-76.9367,0.616000E-04,0.565097E-04,0.585300E-04,-2.26796,0.399553,0.821155,0.267133,0.167500,0.325967,293.109,295.776,297.857,296.043,296.037
2022-06-14,21:00,165.8748,137.133,25.8648,12.2692,-0.376264E-01,0.00000,0.142265E-02,100.385,80.3206,-78.9906,0.616000E-04,0.565097E-04,0.585300E-04,-3.79505,-0.126565,0.591417E-01,0.267333,0.167000,0.325133,293.014,296.389,297.740,295.950,295.950
2022-06-14,21:30,165.8956,144.000,25.7833,12.2689,-0.422224E-01,0.00000,0.214088E-02,100.397,78.1427,-43.7800,0.616000E-04,0.565097E-04,0.585300E-04,-5.11460,-0.576053,-0.581685,0.267000,0.168400,0.324267,293.036,296.434,297.530,295.950,295.950
2022-06-14,22:00,165.9165,141.700,25.7747,12.2689,-0.426163E-01,0.00000,0.217719E-02,100.396,84.5083,-41.3945,0.616000E-04,0.565097E-04,0.585300E-04,-6.23367,-0.972990,-1.14562,0.266733,0.168333,0.325333,292.960,295.060,297.350,295.837,295.910
2022-06-14,22:30,165.937,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-14,23:00,165.958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-14,23:30,165.979,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,00:00,166.000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,00:30,166.020,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,01:00,166.041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,01:30,166.062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,02:00,166.083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,02:30,166.104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,03:00,166.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,03:30,166.145,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,04:00,166.166,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,04:30,166.187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,05:00,166.208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,05:30,166.229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,06:00,166.250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,06:30,166.270,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,07:00,166.291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,07:30,166.312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,08:00,166.333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,08:30,166.3541,94.2500,28.3047,12.2700,907.565,0.00000,291.845,100.421,83.2906,181.282,0.616000E-04,0.628162E-04,0.585300E-04,-8.03411,-1.38558,-2.00581,0.252000,0.175583,0.314000,295.528,297.056,295.950,295.250,295.250
2022-06-15,09:00,166.3749,163.600,29.0057,12.2702,1003.04,0.00000,451.651,100.208,81.1687,226.911,0.616000E-04,0.628162E-04,0.585300E-04,-6.90595,-1.16662,-1.71519,0.250133,0.175900,0.313400,295.955,297.327,295.950,295.250,295.250
2022-06-15,09:30,166.3957,130.700,30.0727,12.2706,1237.64,0.00000,383.221,98.5432,78.3558,482.487,0.616000E-04,0.628162E-04,0.585300E-04,-4.86816,-0.707473,-1.19320,0.250000,0.174300,0.313000,296.685,297.861,296.097,295.250,295.250
2022-06-15,10:00,166.4165,138.133,31.2010,12.2711,1531.88,0.00000,435.403,90.4167,74.3261,602.456,0.616000E-04,0.628162E-04,0.585300E-04,-1.37875,-0.765378E-01,-0.576836,0.250333,0.173433,0.312667,297.597,298.345,296.370,295.410,295.420
2022-06-15,10:30,166.4374,142.133,32.4812,12.2711,1764.81,0.00000,881.348,81.6887,70.3695,744.837,0.616000E-04,0.628162E-04,0.585300E-04,4.62913,0.570085,0.139529,0.249633,0.172433,0.311300,298.514,298.843,296.797,295.550,295.550
2022-06-15,11:00,166.4582,116.567,33.6560,12.2715,1856.56,0.00000,408.283,78.8561,66.9438,790.665,0.616000E-04,0.628162E-04,0.585300E-04,10.2944,1.13629,0.940753,0.248333,0.173000,0.310833,299.300,299.531,297.270,295.550,295.550
2022-06-15,11:30,166.4790,117.167,34.6620,12.2717,1075.04,0.00000,515.651,78.7675,63.2520,520.252,0.616000E-04,0.628162E-04,0.585300E-04,14.6455,1.60089,1.67911,0.248667,0.172167,0.310000,299.790,300.194,297.740,295.643,295.663
2022-06-15,12:00,166.4999,127.100,34.8750,12.2720,440.206,0.00000,530.301,73.4939,59.0231,516.695,0.616000E-04,0.628162E-04,0.585300E-04,17.7583,2.00347,2.39310,0.247500,0.170200,0.309167,299.558,300.520,298.063,295.750,295.750
2022-06-15,12:30,166.5207,131.500,34.8880,12.2634,401.966,0.00000,775.342,74.6197,58.6998,676.545,0.616000E-04,0.623698E-04,0.585300E-04,20.7650,2.35758,3.41943,0.246600,0.170967,0.309000,299.607,300.786,298.370,295.750,295.750
2022-06-15,13:00,166.5415,111.333,35.1513,12.2718,1163.03,0.00000,668.180,72.9927,60.0938,578.754,0.616000E-04,0.622582E-04,0.585300E-04,21.9333,2.53724,3.90100,0.246000,0.170700,0.307067,300.801,301.126,298.703,295.837,295.797
2022-06-15,13:30,166.5624,136.733,35.1896,12.2722,344.861,0.00000,199.906,81.9688,68.3112,168.625,0.616000E-04,0.622582E-04,0.585300E-04,21.8259,2.69198,4.13986,0.244733,0.169067,0.307033,299.423,300.081,298.750,295.950,295.950
2022-06-15,14:00,166.5832,160.433,34.4419,12.2720,307.193,0.00000,168.147,90.9078,76.2941,118.226,0.616000E-04,0.622582E-04,0.585300E-04,21.2545,2.95266,4.58577,0.244567,0.169000,0.307000,298.423,299.222,298.820,295.950,295.950
2022-06-15,14:30,166.6040,160.700,33.6435,12.2717,178.959,0.00000,93.7170,90.2381,78.9028,57.3674,0.616000E-04,0.622582E-04,0.585300E-04,19.5291,3.14454,4.91548,0.243533,0.169000,0.306667,298.452,299.004,298.850,295.983,295.950
2022-06-15,15:00,166.6249,113.433,32.8521,12.2715,351.791,0.00000,189.015,91.2391,73.2344,135.591,0.616000E-04,0.622582E-04,0.585300E-04,17.4276,3.22353,5.06750,0.243000,0.169000,0.307000,297.464,298.065,298.760,296.130,296.023
2022-06-15,15:30,166.6457,107.233,31.8659,12.2710,69.3054,0.300000E-02,36.7185,95.2524,86.0107,-59.3959,0.616000E-04,0.622582E-04,0.585300E-04,15.3416,3.22711,5.10810,0.247767,0.168933,0.311533,296.335,296.194,298.750,296.150,296.150
2022-06-15,16:00,166.6665,112.967,29.6625,12.2702,45.7430,0.250000E-02,22.8728,100.400,88.0622,-64.8459,0.616000E-04,0.622582E-04,0.585300E-04,12.7805,3.27725,5.33584,0.473233,0.169500,0.386267,294.448,294.999,298.737,296.150,296.150
2022-06-15,16:30,166.6873,109.233,27.8320,12.2698,23.6586,0.290000E-02,10.7523,100.385,86.7962,-68.2638,0.616000E-04,0.622582E-04,0.585300E-04,8.38927,2.80599,4.56496,0.534200,0.174000,0.422767,293.634,294.091,298.213,296.097,296.150
2022-06-15,17:00,166.7082,137.700,26.5555,12.2694,15.8864,0.300000E-03,6.48816,100.401,96.1623,-14.4247,0.616000E-04,0.622582E-04,0.585300E-04,2.94161,1.51361,2.70977,0.527633,0.193800,0.403700,293.065,292.753,297.593,295.957,295.997
2022-06-15,17:30,166.7290,113.367,25.9378,12.2691,22.9213,0.00000,10.0745,100.389,92.1958,-31.4030,0.616000E-04,0.622582E-04,0.585300E-04,-2.64249,0.273204,1.03373,0.469333,0.208400,0.389667,293.165,293.544,297.350,295.950,295.950
2022-06-15,18:00,166.7498,111.367,25.7589,12.2691,23.8412,0.00000,11.7733,100.397,97.1887,-17.8274,0.616000E-04,0.622582E-04,0.585300E-04,-4.67757,-0.575548,-0.156720,0.401033,0.214767,0.375933,293.389,293.715,297.320,295.897,295.777
2022-06-15,18:30,166.7707,158.433,25.8641,12.2606,3.41856,0.00000,1.40856,100.398,95.3931,-30.5833,0.616000E-04,0.576693E-04,0.585300E-04,-5.23308,-0.986221,-0.294635,0.370733,0.217833,0.365700,293.735,293.964,297.060,295.750,295.750
2022-06-15,19:00,166.7915,130.967,25.9581,12.2690,0.307142E-01,0.00000,0.122992E-01,100.403,98.6668,-22.2015,0.616000E-04,0.562727E-04,0.585300E-04,-6.28479,-1.46233,-0.988949,0.356767,0.218800,0.360467,293.538,293.301,297.030,295.750,295.750
2022-06-15,19:30,166.8123,160.733,25.9703,12.2689,-0.267029E-01,0.00000,-0.921564E-03,100.391,96.9538,-19.2236,0.616000E-04,0.562727E-04,0.585300E-04,-6.95554,-1.64412,-1.50028,0.342200,0.220333,0.355267,293.464,293.583,296.850,295.750,295.743
2022-06-15,20:00,166.8332,139.267,26.0398,12.2689,-0.353257E-01,0.00000,-0.543207E-03,100.390,96.6862,-21.9140,0.616000E-04,0.562727E-04,0.585300E-04,-7.39664,-1.73246,-1.75026,0.334333,0.220100,0.352300,293.532,293.769,296.850,295.750,295.590
2022-06-15,20:30,166.8540,124.200,26.1177,12.2691,-0.405547E-01,0.00000,-0.459693E-03,100.392,95.5017,-35.1086,0.616000E-04,0.562727E-04,0.585300E-04,-7.74498,-1.79887,-1.92936,0.327400,0.220000,0.349267,293.605,294.202,296.850,295.650,295.550
2022-06-15,21:00,166.8748,123.133,26.1390,12.2688,-0.437398E-01,0.00000,-0.151053E-03,100.405,93.1847,-50.4407,0.616000E-04,0.562727E-04,0.585300E-04,-7.89005,-1.84766,-2.06065,0.321167,0.220000,0.346833,293.541,294.546,296.763,295.550,295.550
2022-06-15,21:30,166.8956,120.267,26.1552,12.2686,-0.460592E-01,0.00000,-0.595495E-04,100.405,86.6385,-76.7447,0.616000E-04,0.562727E-04,0.585300E-04,-8.17720,-1.87590,-2.15202,0.314867,0.220000,0.345233,293.562,295.575,296.657,295.550,295.550
2022-06-15,22:00,166.9165,116.667,26.1651,12.2687,-0.479543E-01,0.00000,0.172839E-03,100.390,85.9430,-65.3300,0.616000E-04,0.562727E-04,0.585300E-04,-8.46051,-1.90309,-2.22781,0.308233,0.220000,0.343733,293.513,295.673,296.563,295.550,295.550
2022-06-15,22:30,166.937,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,23:00,166.958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-15,23:30,166.979,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,00:00,167.000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,00:30,167.020,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,01:00,167.041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,01:30,167.062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,02:00,167.083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,02:30,167.104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,03:00,167.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,03:30,167.145,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,04:00,167.166,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,04:30,167.187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,05:00,167.2083,145.167,24.9786,12.2686,0.323013E-01,0.00000,0.392973E-01,100.388,91.6231,-42.8364,0.616000E-04,0.622486E-04,0.585300E-04,-12.2212,-3.03946,-4.38222,0.261000,0.217000,0.328000,292.016,294.290,295.550,295.050,295.050
2022-06-16,05:30,167.229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,06:00,167.250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,06:30,167.270,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,07:00,167.291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,07:30,167.312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,08:00,167.333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-06-16,08:30,167.3541,97.1000,27.7524,12.2697,1146.13,0.00000,169.660,100.398,79.7489,-1.51850,0.616000E-04,0.628157E-04,0.585300E-04,-9.57705,-2.77225,-4.12113,0.253200,0.218000,0.326000,295.010,297.501,295.250,294.850,294.850
2022-06-16,09:00,167.3749,145.900,28.8638,12.2702,486.933,0.00000,521.630,100.417,76.1436,138.318,0.616000E-04,0.628157E-04,0.585300E-04,-8.58746,-2.49575,-3.73646,0.252700,0.215933,0.326000,295.448,297.841,295.460,294.937,294.850
2022-06-16,09:30,167.3957,114.967,30.4547,12.2707,281.044,0.00000,340.502,100.357,73.4330,525.824,0.616000E-04,0.628157E-04,0.585300E-04,-6.91318,-1.82484,-2.99903,0.251367,0.215267,0.324333,296.303,298.285,295.550,295.050,294.977
2022-06-16,10:00,167.4165,104.567,31.8359,12.2711,230.592,0.00000,369.385,91.7532,68.1484,462.969,0.616000E-04,0.628157E-04,0.585300E-04,-3.09096,-0.843003,-2.12221,0.251067,0.214133,0.324000,297.547,298.972,295.737,295.050,295.050
2022-06-16,10:30,167.4374,124.867,32.7016,12.2712,284.672,0.00000,630.666,87.5672,65.0019,580.478,0.616000E-04,0.628157E-04,0.585300E-04,4.00203,0.855262E-01,-1.16010,0.250867,0.213933,0.323733,297.849,299.401,296.207,295.050,295.050
2022-06-16,11:00,167.4582,148.500,33.5081,12.2711,348.870,0.00000,451.684,79.6775,62.4140,741.886,0.616000E-04,0.628157E-04,0.585300E-04,10.1507,0.756514,-0.190156,0.249533,0.212800,0.322000,299.255,299.831,296.737,295.230,295.170
2022-06-16,11:30,167.4790,161.833,34.4659,12.2715,350.452,0.00000,788.988,74.3821,60.7145,779.531,0.616000E-04,0.628157E-04,0.585300E-04,14.3313,1.22053,0.639548,0.249000,0.211600,0.322000,299.768,300.245,297.157,295.250,295.250
2022-06-16,12:00,167.4999,127.433,35.1740,12.2717,84.2719,0.00000,843.902,71.2374,59.7913,810.165,0.616000E-04,0.628157E-04,0.585300E-04,17.8883,1.62469,1.41941,0.247500,0.211467,0.322000,300.488,300.476,297.547,295.290,295.250
2022-06-16,12:30,167.5207,109.167,35.5505,12.2632,96.0190,0.00000,689.456,70.7008,60.7332,608.047,0.616000E-04,0.628180E-04,0.585300E-04,23.0858,2.04075,2.54205,0.247533,0.209533,0.320267,300.581,300.651,298.083,295.540,295.490
2022-06-16,13:00,167.5415,107.933,35.5250,12.2719,286.546,0.00000,755.157,74.3576,65.7253,699.208,0.616000E-04,0.628186E-04,0.585300E-04,26.5318,2.47076,3.29124,0.245933,0.208233,0.320000,300.614,300.488,298.477,295.550,295.550
2022-06-16,13:30,167.5624,131.900,35.3807,12.2719,162.359,0.00000,400.855,78.3935,70.6775,348.331,0.616000E-04,0.628186E-04,0.585300E-04,26.3173,2.81700,3.74948,0.245533,0.208700,0.319167,300.151,299.904,298.750,295.703,295.643
2022-06-16,14:00,167.5832,141.367,34.9237,12.2719,113.680,0.00000,293.782,79.5310,72.8726,256.124,0.616000E-04,0.628186E-04,0.585300E-04,25.2961,3.16163,4.32820,0.244167,0.207933,0.319000,299.707,299.493,298.750,295.750,295.750
2022-06-16,14:30,167.6040,135.267,34.4737,12.2717,53.3577,0.00000,456.864,78.4363,69.7295,389.077,0.616000E-04,0.628186E-04,0.585300E-04,23.4484,3.44047,4.83675,0.243333,0.208000,0.318533,299.912,299.830,298.750,295.757,295.750
2022-06-16,15:00,167.6249,98.3000,34.0266,12.2716,-0.508296E-01,0.00000,74.9258,83.7648,71.6994,36.1380,0.616000E-04,0.628186E-04,0.585300E-04,21.3538,3.62871,5.22084,0.243067,0.208000,0.317267,298.814,299.220,298.750,295.897,295.803
2022-06-16,15:30,167.6457,110.767,33.2102,12.2714,-0.675286E-01,0.00000,82.8932,88.0601,70.2500,32.3084,0.616000E-04,0.628186E-04,0.585300E-04,19.0737,3.75671,5.52506,0.241967,0.208000,0.317633,297.994,299.045,298.750,295.950,295.950
